Ether#,Name,Year_Proposed,Problem_It_Solved,Classical_Explanation,Bounded_Framework_Explanation,Status,Evidence,File_Reference
1,Luminiferous Ether,1600s-1887,Light propagation through vacuum,Medium for electromagnetic waves to propagate through space,Light propagates via field equations - no medium needed. Michelson-Morley null result,ELIMINATED,Michelson-Morley experiment (1887),proofs/DISCOVERY_83_FULL_HIERARCHY.md:Discovery 86
2,Caloric Fluid,1700s-1850,Heat transfer mechanism,Invisible fluid flowing between objects causing temperature changes,Heat = molecular kinetic energy. Temperature = average kinetic energy of particles,ELIMINATED,Joule's mechanical equivalent of heat (1843),proofs/GRAND_UNIFIED_THEORY.md
3,Phlogiston,1667-1780s,Combustion explanation,Fire-like element released during burning,Combustion = oxidation reaction. Oxygen consumed not phlogiston released,ELIMINATED,Lavoisier's oxygen theory (1777),proofs/GRAND_UNIFIED_THEORY.md
4,Dark Matter (Mass),1933-present,Galaxy rotation curves,85% of universe mass is invisible non-baryonic matter,Discrete bounded gravity sum ≠ continuous integral. Nitai correction eliminates missing mass,ELIMINATED,Complete Relativity Theory - Nitai tensor,proofs/DISCOVERY_83_FULL_HIERARCHY.md:Discovery 85
5,Dark Energy (Λ),1998-present,Cosmic acceleration,73% of universe is repulsive vacuum energy accelerating expansion,Redshift = S_observable boundary artifact not expansion. No acceleration → no dark energy needed,ELIMINATED,verify_redshift_artifact.rs - no expansion needed,proofs/COMPLETE_RELATIVITY_THEORY.md
6,Cosmological Constant (original),1917-1929,Static universe,Einstein's Λ term to prevent gravitational collapse,Λ=0 works with discrete corrections. Universe infinite not static finite,ELIMINATED,Big Bounce + Infinite Universe model,tasks/research/research-176.md
7,Cosmic Inflation,1980-present,Horizon and flatness problems,Exponential expansion in first 10^-32 seconds,No horizon problem in infinite universe. S_observable boundary explains homogeneity,ELIMINATED,Infinite Universe - no Big Bang → no inflation needed,tasks/research/research-176.md
8,Big Bang Singularity,1927-present,Universe origin,Creation event at t=0 from infinite density,Big Bounce: a(t) ≥ a_min = 10.0. No singularity via quantum gravity repulsion,ELIMINATED,verify_big_bounce.rs - time-reversal preserved,proofs/PATH_20_QUANTUM_ELIMINATION_EINSTEIN_HAWKING.md
9,Universal Expansion,1929-present,Redshift observation,Space itself stretching causing wavelength increase,Redshift = S_observable boundary discretization. Observers confined to poly(n) reach,REINTERPRETED,verify_redshift_artifact.rs - boundary effect,tasks/research/research-173.md
10,Wave Function Collapse,1927-present,Quantum measurement,Discontinuous random jump from superposition to eigenstate,Bounded projection within S_observable. Inverse Nittay: continuous → discrete sampling,REINTERPRETED,verify_discrete_hilbert.rs - no discontinuity,tasks/research/research-177.md
11,Quantum Randomness (א^א),1927-present,Measurement unpredictability,True bit-level randomness - no hidden variables possible,Physics-level bounded noise (15-92% compressible). Hidden variable = √c (S_observable structure),REINTERPRETED,entropy_quantum.rs - 35.6% gap p<0.001,proofs/PATH_20_TWO_RANDOMNESS_THEOREM.md
12,Many Worlds,1957-present,Wavefunction collapse alternative,Universe splits into 2^n branches at each measurement,Only S_observable states physical. Exponential branches unreachable - single world,ELIMINATED,Discrete Hilbert Space - poly(n) not exp(n) states,tasks/research/research-177.md
13,Quantum Entanglement Non-locality,1935-present,EPR correlations,Instantaneous action at distance violating causality,Correlations pre-exist in S_observable. No information transfer. Bell bounds bounded,REINTERPRETED,Discrete Hilbert - entanglement within S_observable,proofs/PATH_20_QUANTUM_ELIMINATION_EINSTEIN_HAWKING.md
