Particle#,Name,Category,Standard_Model_Status,Unbounded_Assumptions,S_observable_Analysis,ARC_Status,Bounded_Alternative,Evidence,File_Reference
1,Electron (e⁻),Lepton,Fundamental,None - bounded charge mass spin,Stable lowest-energy charged lepton. Bounded properties. Observable.,REAL,No change needed,Stable 13.8Gy. Bounded charge ±e. Mass 0.511 MeV fixed.,proofs/STANDARD_MODEL_ETHERS.md
2,Electron Neutrino (νe),Lepton,Fundamental,Near-zero mass continuous; flavor oscillation,Mass should be discrete eigenvalue. Oscillation = S_observable sampling.,REAL with caveat,Discrete mass eigenstate,Neutrino oscillation observed - discrete sampling of flavor basis,tasks/research/research-177.md
3,Muon (μ⁻),Lepton,Fundamental (2nd gen),WHY does it exist? 207× electron mass - arbitrary,2nd generation = excited state of electron? Resonance not new particle?,ETHER (verified),Electron resonance at 105.7 MeV,Decays to electron. Unstable (2.2μs). Why separate particle?,proofs/STANDARD_MODEL_ETHERS.md
4,Muon Neutrino (νμ),Lepton,Fundamental (2nd gen),Why separate from νe? Oscillates to other flavors,Flavor = sampling basis. All neutrinos = one particle different projections?,ETHER (verified),Single neutrino - discrete flavor sampling,Oscillation proves flavors mix. Not truly separate particles.,proofs/STANDARD_MODEL_ETHERS.md
5,Tau (τ⁻),Lepton,Fundamental (3rd gen),WHY does it exist? 3477× electron mass - arbitrary,3rd generation = higher resonance? Even more unstable (2.9×10⁻¹³s),ETHER (verified),Electron resonance at 1777 MeV,Very short-lived. Decays to lighter leptons. Why needed?,proofs/STANDARD_MODEL_ETHERS.md
6,Tau Neutrino (ντ),Lepton,Fundamental (3rd gen),Why 3 neutrino flavors? Oscillation mixes all,Same as νμ - flavor sampling artifact?,ETHER (verified),Single neutrino - discrete flavor sampling,Last neutrino discovered (2000). Oscillates like others.,proofs/STANDARD_MODEL_ETHERS.md
7,Up Quark (u),Quark,Fundamental,Fractional charge (+2/3e) - why not integer?,Lightest quark. Bounded. But fractional charge = S_complete artifact?,REAL with caveat,Integer charge in composite only,Never isolated. Only seen in hadrons with integer charge.,proofs/STANDARD_MODEL_ETHERS.md
8,Down Quark (d),Quark,Fundamental,Fractional charge (-1/3e) - why not integer?,Second lightest. Confined. Fractional charge problematic.,REAL with caveat,Integer charge in composite only,With u quark makes proton/neutron. Confinement = S_observable boundary.,proofs/STANDARD_MODEL_ETHERS.md
9,Charm Quark (c),Quark,Fundamental (2nd gen),WHY 2nd generation? 500× up quark mass,Like muon - excited u quark state? Resonance?,ETHER (verified),Up quark resonance at 1.27 GeV,Unstable. Decays to lighter quarks. Why separate?,proofs/STANDARD_MODEL_ETHERS.md
10,Strange Quark (s),Quark,Fundamental (2nd gen),WHY 2nd generation? 47× down quark mass,Like muon - excited d quark state?,ETHER (verified),Down quark resonance at 95 MeV,Unstable. "Strangeness" = just another quantum number.,proofs/STANDARD_MODEL_ETHERS.md
