Distribution#,Name,Type,Unbounded_Assumptions,Current_Usage,Status,Bounded_Alternative,Compressibility_Prediction,Evidence,File_Reference
1,Gaussian/Normal,Continuous,Infinite tails P(x>any)>0; continuous σ∈ℝ; unbounded support,Measurement error; thermal noise; CLT applications,ETHER,Truncated Gaussian G[μ σ a b] with hard cutoffs at S_observable boundary,15-92%,PATH_20: Gaussian noise 3.70% compressible,proofs/PATH_20_TWO_RANDOMNESS_THEOREM.md
2,Poisson,Discrete,Continuous rate λ∈(0 ∞); unbounded event count k∈ℕ; continuous time assumption,Rare events; radioactive decay; photon emission,ETHER,Discrete rate parameter; k_max ≤ √(2n) from Nittay bound; quantized time,15-92%,Physical processes bounded - Planck time sets minimum,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
3,Exponential,Continuous,Infinite tail P(T>t)>0 for all t; memoryless property; unbounded waiting time,Waiting times; decay rates; queuing theory,ETHER,Geometric distribution (discrete); truncated at T_max = universe age; bounded state transitions,15-92%,Physical waiting times finite - universe age bounds all processes,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
4,Power Law,Continuous,Unbounded support x∈[x_min ∞); infinite variance for α≤2; scale-free assumption,Social networks; earthquakes; wealth distribution; galaxy rotation,ETHER,Power law with S_observable cutoff at r_obs = c×n_steps; characteristic scale exists,15-92%,Redshift artifact shows apparent scale-free is S_observable boundary,tasks/research/research-173.md
5,Uniform (unbounded),Continuous,Infinite support U(-∞ ∞); infinite entropy; equal probability over ℝ,Never physically occurs - mathematical construct only,ETHER,Impossible - violates information theory; replace with bounded U[a b],N/A,Infinite entropy violates Two Randomness - never observed,proofs/PATH_20_TWO_RANDOMNESS_THEOREM.md
6,Uniform (bounded),Continuous,None - naturally bounded U[a b],Maximum entropy for bounded support; uncertainty within S_observable,REAL,Already bounded - no fix needed,15-92%,Maximum entropy distribution for known bounds,proofs/GRAND_UNIFIED_THEORY.md
7,Binomial,Discrete,None - k∈{0...n} naturally bounded,SAT assignments; coin flips; independent bounded trials,REAL,Already bounded - no fix needed,15-92%,n trials = physical constraint; O(n^c) outcomes match S_observable,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
8,Multinomial,Discrete,None - outcomes ∈ {1...k} bounded,Multi-class classification; dice rolls; categorical data,REAL,Already bounded - no fix needed,15-92%,Finite categories match S_observable constraints,proofs/GRAND_UNIFIED_THEORY.md
9,Geometric,Discrete,Theoretically unbounded k∈ℕ but practically bounded,Discrete waiting times; number of trials until success,REAL with caveat,Already discrete - apply k_max bound from S_observable,15-92%,Discrete analog of exponential - naturally closer to physical reality,proofs/GRAND_UNIFIED_THEORY.md
10,Hypergeometric,Discrete,None - sampling without replacement naturally bounded,Sampling; lottery; urn models,REAL,Already bounded - no fix needed,15-92%,Finite population = bounded; perfect for S_observable sampling,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
11,Born Rule (continuous ℋ),Quantum,Infinite dimensional Hilbert space dim(ℋ)=∞; unbounded spectrum σ(Â)=ℝ; exponential superpositions,Quantum measurement; Copenhagen interpretation,ETHER,Discrete Hilbert space dim(ℋ_d)=O(n²); bounded spectrum λ∈[-M M]; polynomial superpositions only,15-92%,verify_discrete_hilbert.rs: outcomes 2.0% compressible,tasks/research/research-177.md
12,Born Rule (discrete ℋ_d),Quantum,None - dim(ℋ_d)=O(n²) bounded; finite spectrum,Quantum measurement with discrete basis projection,REAL,Already corrected via Discrete Hilbert Space,15-92%,Measurement outcomes 2% compressible - within physics-level range,np-optima/src/bin/verify_discrete_hilbert.rs
13,Boltzmann,Thermodynamic,Unbounded energy E∈[0 ∞); continuous temperature T∈(0 ∞); allows T→0 and T→∞,Statistical mechanics; thermal equilibrium; partition functions,ETHER,Discrete energy levels E∈{E_min...E_max}; T_min and T_max bounds; finite partition function,15-92%,Planck quantization sets energy discrete; no continuous spectrum,proofs/GRAND_UNIFIED_THEORY.md
14,Maxwell-Boltzmann,Thermodynamic,Unbounded velocity v∈ℝ³; continuous energy; infinite tail,Velocity distribution of gas particles,ETHER,Discrete velocity states; v_max from relativistic limit c; bounded kinetic energy,15-92%,Relativity bounds velocity; quantization bounds energy,proofs/GRAND_UNIFIED_THEORY.md
15,Fermi-Dirac,Quantum-stat,Continuous energy spectrum; unbounded chemical potential μ; T→0 allows,Fermion occupation (electrons); quantum statistics,ETHER,Discrete energy eigenstates; bounded μ∈[E_min E_max]; finite occupation numbers,15-92%,Physical systems have finite particle counts and bounded energy levels,proofs/COMPLETE_RELATIVITY_THEORY.md
