Equation#,Name,Formula,Meaning,Domain,File_Reference
1,Nittay Singular Value,sigma(n) = sqrt(2(n-1)(n-2)),2-opt constraint matrix singular value,TSP/Matrix,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
2,Nittay Circle Limit,lim(n->inf) sigma(n)/n = sqrt(2),Discrete polygon approaches continuous circle,Geometry,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
3,Projection Structure,A^T A = sigma^2 * P,Gram matrix is scaled projection,Matrix,love_letters/grapheme/LOVE_NOTE_11_PROJECTION_THEOREM.md
4,Resolution Saturation,O(n^(2k)) for k-CNF,Maximum resolution steps,Logic,proofs/GRAND_UNIFIED_THEORY.md
5,Observable Space Bound,|S_observable| = O(n^g(c)),Local optima count for c-bounded moves,Complexity,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
6,Landauer Minimum,E >= kT*ln(2),Energy per bit erased,Physics,proofs/GRAND_UNIFIED_THEORY.md:Part II
7,Shannon Entropy,H = -sum(p_i * log(p_i)),Information content measure,Information,proofs/GRAND_UNIFIED_THEORY.md:Part III
8,Wigner Semicircle,rho(lambda) = sqrt(R^2 - lambda^2)/(pi*R^2),Random matrix eigenvalue density,Statistics,proofs/GRAND_UNIFIED_THEORY.md:Part IV
9,2-opt Constraint Rank,rank(A_n) = n(n-3)/2,Dimension of constraint space,TSP/Matrix,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
10,Nullspace Dimension,nullspace(A_n) = n,Degrees of freedom in tours,TSP/Matrix,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
11,TSP Local Optima,|LO| <= k*n^2,Maximum 2-opt stable tours,TSP,proofs/GRAND_UNIFIED_THEORY.md
12,k-opt General,sigma_k(n) = sqrt(k(n-1)(n-k)),Generalization to k-opt,TSP,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
13,Unit Propagation,O(n^2) for Horn SAT,Assignment cascade complexity,Logic,proofs/GRAND_UNIFIED_THEORY.md
14,Implication Graph,O(n^2) for 2-SAT,SCC analysis complexity,Logic,proofs/GRAND_UNIFIED_THEORY.md
15,Type Inference,O(n^3) for Hindley-Milner,Algorithm W unification,Type Theory,proofs/GRAND_UNIFIED_THEORY.md
16,Decomposition Speedup,O(n^c) -> O(n^((c+1)/2)),Sqrt(n)-way decomposition effect,Complexity,proofs/DISCOVERY_24_HIERARCHICAL_DECOMPOSITION.md
17,Five-Headed Loss,loss = alpha*node + beta*edge + gamma*clique + delta*type + epsilon*content,Grapheme neural training,ML,patent/IP_STRATEGY_7_MODULES.md
18,Laplace Transform,L*phonemes = audio; phonemes = L^(-1)*audio,Audio-to-phoneme master equation,Signal,patent/IP_STRATEGY_7_MODULES.md
19,Overlap Ratio,overlap = shared_vars / total_vars,Constraint interference measure,Optimization,proofs/DISCOVERY_18_CONSTRAINT_OVERLAP.md
20,Switch Bound,max_switches <= 4,L-R switches in 2-opt stable path,TSP,PROOF_P_EQUALS_NP_V9.md
21,Entry Point Count,O(m) * O(m) = O(m^2),Stable path characterization,TSP,PROOF_P_EQUALS_NP_V9.md
22,Segment Bound,|stable_paths| = O(m^2),Local optima per rope segment,TSP,PROOF_P_EQUALS_NP_V9.md:Theorem 4.2
23,Coupling Bound,|total_tours| = O(n^c) for c<=3,Global stable tour count,TSP,PROOF_P_EQUALS_NP_V9.md:Section 8
24,Bounded Value,+/- gives O(n^2); */exp gives O(k^n),Value generation complexity boundary,Complexity,proofs/NITTAY_TRIANGLE_THEORY.md
25,SAT Phase,alpha* approx 4.26 for 3-SAT,Critical clause-to-variable ratio,SAT,Literature (standard result)
26,Approximation Bound,LO*/OPT <= 1 + O(n^(1/c)/n),Local-global gap bounded by overlap degree c,Approximation,proofs/DISCOVERY_22_APPROXIMATION_BOUNDS.md
27,Interference Counting,(2^c)^n -> O(n^c) via dependencies,Signature space reduction through constraints,Combinatorics,proofs/DISCOVERY_19_INTERFERENCE_BOUND.md
28,Grover Speedup,O(sqrt(N)) quantum search,Best quantum improvement on classical,Quantum,proofs/DISCOVERY_QUANTUM_LIMITS.md
29,Quantum Local Search,O(n^(c/2)) via Grover,Quantum speedup of polynomial local search,Quantum,proofs/DISCOVERY_QUANTUM_LIMITS.md
30,CLT Threshold,N * (action/hbar) > ~30,When Central Limit Theorem becomes applicable,Physics,proofs/NITTAY_TRIANGLE_THEORY.md
31,Marchenko-Pastur Law,rho(lambda) for random matrices,Eigenvalue distribution contrast with isotropic,Statistics,proofs/DISCOVERY_RANDOM_MATRIX.md
32,Densification Ratio,O(1) -> O(2^(epsilon*n)),Solution density multiplication via tolerance,Factoring,proofs/DISCOVERY_27_DENSIFICATION.md
33,Smooth Factorization,N = product(p_i^a_i) has multiple pairs,Multiplicity of decompositions for smooth numbers,Number Theory,proofs/DISCOVERY_27_DENSIFICATION.md
34,Bit Gradient Update,factor[i] += gradient(N - a*b),Iterative bit refinement for factoring,Factoring,proofs/DISCOVERY_32_BIT_GRADIENT_FACTORING.md
35,CRT Overlap,36x overlap via prime moduli,Constraint density achievable in factoring,Number Theory,proofs/DISCOVERY_26_FACTORING_STRUCTURE.md
36,Isotropic Eigenvalue,all eigenvalues = sigma^2,Uniform spectrum in bounded-move systems,Matrix,proofs/DISCOVERY_RANDOM_MATRIX.md
37,Information Bound,H <= log(|S_observable|),Entropy bounded by observable space size,Information,proofs/GRAND_UNIFIED_THEORY.md:Part III
38,Levinthal Time,O(n^c) vs O(2^n),Polynomial protein folding vs brute force,Biology,proofs/GRAND_UNIFIED_THEORY.md
39,Game Tree Depth,depth = O(log(positions)) via saturation,Polynomial game tree evaluation depth,Game Theory,proofs/DISCOVERY_36_CHESS_FRAMEWORK.md
