Triangle#,Name,Vertex1,Vertex2,Vertex3,Creator,Principle,Connection_to_P_equals_NP,File_Reference
1,Sabag Triangle,Code,Theory,Proof,Eliran Sabag,All three vertices must align - empirical verification methodology,Code verifies Theory which validates Proof - no gaps allowed,love_letters/grapheme/NITTAY_TRIANGLE_V2.md
2,Yigael Triangle,Theory,Insights,Predictions,Yoav Yigael,Scientific methodology - predictions must verify theory,27 predictions with 9 confirmed validates theoretical framework,proofs/NITTAY_TRIANGLE_THEORY.md
3,AGI Triangle,Perception,Reasoning,Action,Grapheme-NN Framework,AGI framework with bounded local moves,Bounded perception->reasoning->action = polynomial tractability,patent/presentation/04_GRAPHEME.md
4,Triangle Axiom,Point A,Point B,Point C,Euclidean Geometry,d(a c) <= d(a b) + d(b c),Observable sample space boundary - constrains search space,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
5,TaskGuard Triangle,Author,Claude,TaskGuard,Eliran Sabag,Bounded-move enforcement via DAG causality,--dependencies requirement = history convergence (Path 1),prior_art/docs/AGENTIC_AI_TASKGUARD_GUIDE.md
6,Mathematical Derivation Triangle,Non-Crossing,(L.R) Partition,Gap1+Gap2,Eliran Sabag + Claude,BOUND don't COUNT - geometric proof,O(m²) from entry points × O(1) switches - no enumeration needed,np-optima/src/bin/triangle_proof_theory.rs
7,Complexity Hierarchy Triangle,P (bounded ops),NP (bounded moves),PSPACE (bounded depth),Eliran Sabag,Each vertex collapses to P via appropriate bounding principle,Three levels of computational horizon - unified by bounding parameter,proofs/DISCOVERY_80_QUANTIFIER_BOUNDARY.md
8,Alternation Triangle,∃ (existential),∀ (universal),d (depth bound),Eliran Sabag,Quantifier structure determines problem tractability,∃ alone = NP; ∃∀ alternating = PSPACE; d bounded = P,proofs/DISCOVERY_80_QUANTIFIER_BOUNDARY.md
9,State Space Triangle,PSPACE (poly state),EXPTIME (exp state),s (state bits),Eliran Sabag,State representation size determines class,poly(n) bits = PSPACE; 2^poly(n) bits = EXPTIME; bound s = collapse,proofs/DISCOVERY_83_FULL_HIERARCHY.md
10,Computability Triangle,P (computable),א^א (incomputable),Bounded sampling,Eliran Sabag,Bounding transforms incomputable to computable,Unbounded noise = incomputable; bounded = structured = P,proofs/DISCOVERY_83_FULL_HIERARCHY.md
